attrition,training_spend,education_level,job_title,gender_male,performance_rating,boss_rating_avg,salary,overtime_per_week,traveldays_per_year,lastpromotion_months
TRUE,2214,BSc,Designer,FALSE,3,1.9,4690,6,35,23
FALSE,1885,BSc,Junior developer,TRUE,2,2.8,3877,0,11,17
FALSE,1884,BSc,Junior developer,FALSE,2,3.4,3853,7,19,21
FALSE,2206,MSc or MBA,Developer,FALSE,4,2.6,6037,1,8,7
FALSE,1716,BSc,Consultant,TRUE,3,4.2,7482,13,29,8
FALSE,1891,MSc or MBA,Consultant,FALSE,3,4.7,7439,9,36,12
FALSE,1461,BSc,Developer,FALSE,3,1.6,5693,0,11,20
FALSE,2168,BSc,Associate,FALSE,4,3.7,5395,1,18,16
FALSE,2163,MSc or MBA,Junior developer,FALSE,4,4,4266,16,35,28
FALSE,1969,BSc,Consultant,TRUE,3,1.9,7488,5,16,12
FALSE,1977,MSc or MBA,Business analyst,FALSE,2,3.3,3828,12,34,12
FALSE,2108,MSc or MBA,Consultant,TRUE,3,2.4,7547,8,15,25
FALSE,2134,MSc or MBA,Junior designer,FALSE,2,3.5,3793,4,24,0
FALSE,1861,MSc or MBA,Associate,TRUE,2,3.5,5040,5,34,18
FALSE,2095,BSc,Developer,FALSE,4,4.2,5968,2,14,20
FALSE,1749,BSc,Junior developer,FALSE,4,3.8,4271,6,26,4
FALSE,2005,MSc or MBA,Junior designer,FALSE,4,4.2,4153,5,29,14
TRUE,1444,MSc or MBA,Associate,TRUE,2,1.9,4984,3,19,40
FALSE,1591,BSc,Junior developer,FALSE,3,4.1,4062,1,28,12
FALSE,2358,BSc,Associate,TRUE,3,3.8,5132,4,33,26
FALSE,2262,BSc,Junior designer,FALSE,3,2.7,4035,2,13,18
TRUE,1926,BSc,Junior developer,FALSE,2,4.1,3863,7,12,26
FALSE,2093,BSc,Business analyst,FALSE,4,1,4248,5,46,9
FALSE,1856,BSc,Junior designer,FALSE,3,2.9,3954,1,16,24
FALSE,1905,BSc,Business analyst,TRUE,3,4.3,4028,8,23,25
FALSE,1782,BSc,Junior developer,FALSE,3,2.4,4001,6,39,7
FALSE,2138,BSc,Senior developer,TRUE,4,1.5,7186,7,20,29
FALSE,2257,MSc or MBA,Junior designer,TRUE,3,4,4085,9,7,26
FALSE,1623,MSc or MBA,Junior developer,TRUE,3,3.2,4078,15,10,3
FALSE,1482,MSc or MBA,Junior designer,TRUE,2,4.3,3763,6,28,21
FALSE,1976,MSc or MBA,Junior designer,FALSE,3,3.6,4099,5,15,39
FALSE,1816,BSc,Associate,TRUE,1,1.7,4794,1,14,8
TRUE,1967,BSc,Junior designer,FALSE,2,2.4,3898,2,25,36
FALSE,2078,BSc,Designer,TRUE,4,2.9,4817,1,27,14
FALSE,1860,DSc or PhD,Lead developer,TRUE,5,1.4,9918,9,26,13
FALSE,1873,MSc or MBA,Business analyst,TRUE,2,4,3856,5,26,27
FALSE,2032,MSc or MBA,Developer,TRUE,4,1.7,5971,3,8,16
FALSE,2291,BSc,Junior developer,TRUE,2,3.6,3758,6,17,16
FALSE,1848,MSc or MBA,Associate,FALSE,3,3.7,5265,5,24,9
FALSE,1949,MSc or MBA,Designer,FALSE,3,4.7,4587,3,4,8
FALSE,2160,MSc or MBA,Junior developer,TRUE,4,2.4,4269,7,23,13
FALSE,2145,MSc or MBA,Junior designer,FALSE,4,1.9,4248,8,21,25
FALSE,1728,BSc,Developer,TRUE,3,3.2,5807,8,10,17
FALSE,2343,MSc or MBA,Developer,FALSE,2,3.2,5425,1,28,32
FALSE,2018,BSc,Junior designer,FALSE,3,3,4002,4,17,17
FALSE,2295,BSc,Junior designer,TRUE,3,3.4,4008,4,17,8
TRUE,1621,MSc or MBA,Business analyst,FALSE,2,1.2,3787,6,25,2
FALSE,1788,MSc or MBA,Senior developer,TRUE,2,3.9,6633,4,1,10
FALSE,1696,BSc,Designer,TRUE,3,3.5,4671,5,29,11
FALSE,2269,MSc or MBA,Senior designer,TRUE,2,3.5,6677,6,16,19
FALSE,2387,BSc,Developer,TRUE,4,2.4,5984,0,40,10
FALSE,1781,MSc or MBA,Junior designer,FALSE,3,4.4,3970,2,32,17
TRUE,2235,BSc,Senior designer,TRUE,5,3.8,7557,3,27,6
FALSE,1653,BSc,Junior designer,TRUE,3,3.9,4091,6,10,17
FALSE,1536,MSc or MBA,Designer,TRUE,3,2.9,4625,1,8,16
FALSE,1662,MSc or MBA,Associate,TRUE,3,3.4,5117,3,28,19
FALSE,2255,BSc,Junior designer,TRUE,3,2.5,4061,9,8,13
FALSE,2030,BSc,Junior developer,FALSE,3,2.6,4018,5,25,28
FALSE,2345,BSc,Junior developer,FALSE,3,2.1,4045,7,23,13
FALSE,1438,MSc or MBA,Developer,FALSE,3,2.8,5841,1,29,23
FALSE,2051,MSc or MBA,Developer,FALSE,3,3.5,5692,2,33,36
FALSE,1961,BSc,Developer,FALSE,4,3.6,5921,10,11,10
FALSE,1862,BSc,Junior developer,FALSE,3,4.6,3964,2,32,17
TRUE,2023,MSc or MBA,Junior developer,TRUE,4,3.4,4141,4,34,16
FALSE,1827,BSc,Junior designer,FALSE,3,3.3,4034,2,24,30
FALSE,2096,MSc or MBA,Business analyst,FALSE,4,4.6,4202,6,5,38
FALSE,1896,MSc or MBA,Junior developer,FALSE,2,2.4,3861,6,8,36
FALSE,2297,BSc,Junior designer,FALSE,3,3.6,4043,8,19,7
FALSE,2298,MSc or MBA,Senior developer,TRUE,4,3.2,7149,1,29,30
TRUE,1613,BSc,Junior designer,TRUE,1,2.4,3698,7,17,15
TRUE,1959,MSc or MBA,Developer,FALSE,2,2.7,5432,2,25,2
FALSE,2147,MSc or MBA,Associate,FALSE,5,2.8,5663,11,14,26
FALSE,2057,BSc,Junior designer,FALSE,4,2.1,4280,2,13,3
FALSE,2265,BSc,Designer,TRUE,3,4.4,4645,1,18,20
TRUE,1977,BSc,Junior developer,TRUE,2,2.5,3830,6,22,24
FALSE,2160,BSc,Junior designer,TRUE,3,2.8,3926,4,19,35
TRUE,1618,MSc or MBA,Senior developer,TRUE,2,4.3,6581,3,11,21
FALSE,1976,BSc,Associate,FALSE,2,3.1,4863,6,7,14
FALSE,2596,MSc or MBA,Developer,TRUE,2,2.7,5513,0,16,12
FALSE,1447,BSc,Senior designer,TRUE,3,5,6913,0,30,21
FALSE,2128,BSc,Business analyst,FALSE,4,3,4265,5,26,24
FALSE,1950,BSc,Associate,FALSE,3,2.4,5239,9,24,14
FALSE,1930,DSc or PhD,Developer,FALSE,3,2.1,5774,5,17,16
FALSE,2203,MSc or MBA,Junior developer,FALSE,4,2,4199,5,11,19
FALSE,2001,DSc or PhD,Associate,FALSE,3,2.4,5262,6,25,5
FALSE,1528,MSc or MBA,Developer,TRUE,2,3,5478,4,29,16
FALSE,1957,MSc or MBA,Lead designer,TRUE,1,3,7874,1,22,36
FALSE,2162,MSc or MBA,Consultant,FALSE,3,1.2,7469,9,21,22
FALSE,2069,DSc or PhD,Consultant,TRUE,3,3.1,7477,1,20,5
FALSE,2036,MSc or MBA,Associate,TRUE,4,2.3,5444,2,11,17
TRUE,1981,BSc,Junior developer,TRUE,1,2.9,3659,10,25,3
FALSE,2540,BSc,Junior designer,TRUE,4,3.2,4293,1,9,14
TRUE,1609,BSc,Senior developer,TRUE,3,3.6,6979,2,35,33
FALSE,2052,BSc,Designer,FALSE,3,3,4647,1,18,15
FALSE,2205,MSc or MBA,Business analyst,FALSE,2,3.4,3781,1,9,10
FALSE,2304,BSc,Business analyst,TRUE,3,2.8,3980,9,21,15
FALSE,2071,BSc,Business analyst,FALSE,3,4.4,4071,0,16,23
TRUE,1795,BSc,Junior developer,FALSE,2,2.5,3891,7,21,19
FALSE,2162,MSc or MBA,Developer,FALSE,2,4.3,5428,10,19,14
TRUE,2261,MSc or MBA,Designer,FALSE,4,3.8,4781,1,14,18
TRUE,1635,BSc,Designer,TRUE,2,2.3,4426,8,14,22
FALSE,1535,BSc,Junior developer,TRUE,2,2.6,3927,3,35,24
TRUE,2283,MSc or MBA,Associate,FALSE,4,3.6,5399,5,28,15
FALSE,1967,MSc or MBA,Business analyst,TRUE,1,2.6,3757,5,18,14
FALSE,2099,BSc,Developer,FALSE,3,4.5,5693,15,23,10
TRUE,1721,BSc,Junior developer,TRUE,1,2.2,3616,8,38,32
FALSE,1825,MSc or MBA,Associate,TRUE,3,1,5164,5,28,20
FALSE,2093,BSc,Developer,TRUE,5,3.2,6238,7,18,22
FALSE,2075,BSc,Developer,TRUE,3,3.6,5763,5,24,27
TRUE,2644,BSc,Junior designer,FALSE,2,3.4,3823,8,31,38
FALSE,2329,BSc,Junior developer,FALSE,5,2.7,4379,5,23,10
FALSE,2108,BSc,Developer,FALSE,4,3.7,6045,4,2,31
FALSE,1945,BSc,Lead designer,TRUE,3,3.4,8574,6,36,20
TRUE,2039,BSc,Business analyst,FALSE,5,3.8,4372,2,29,6
FALSE,1645,BSc,Junior developer,FALSE,2,3.4,3857,0,26,11
FALSE,2239,BSc,Junior designer,FALSE,5,3.5,4399,1,10,3
FALSE,2014,BSc,Junior designer,TRUE,3,4,4088,10,15,29
FALSE,2247,DSc or PhD,Senior developer,TRUE,5,1.7,7429,6,19,19
FALSE,1919,MSc or MBA,Senior designer,TRUE,4,2,7144,10,18,29
FALSE,2037,BSc,Associate,FALSE,3,1.8,5162,4,24,21
TRUE,1719,DSc or PhD,Senior developer,TRUE,3,3.9,6871,1,25,33
FALSE,1808,BSc,Designer,TRUE,3,1.3,4531,12,31,3
FALSE,2169,BSc,Designer,FALSE,3,3.5,4516,9,33,18
FALSE,2114,BSc,Consultant,TRUE,2,4.1,7131,2,23,19
FALSE,2078,MSc or MBA,Junior designer,TRUE,4,2.5,4269,2,21,7
FALSE,2268,BSc,Junior designer,FALSE,1,2.5,3605,10,10,21
FALSE,1662,BSc,Designer,FALSE,3,4.1,4618,4,22,13
FALSE,1967,BSc,Developer,FALSE,3,2.7,5780,1,11,22
FALSE,2604,BSc,Junior developer,TRUE,2,2.8,3811,3,38,17
FALSE,1695,BSc,Business analyst,TRUE,2,1.1,3914,3,18,7
FALSE,1959,MSc or MBA,Junior designer,TRUE,5,3,4427,1,23,18
FALSE,2225,MSc or MBA,Developer,TRUE,3,1.9,5749,4,38,20
TRUE,1701,BSc,Junior developer,FALSE,3,2.2,4049,6,30,9
FALSE,1885,BSc,Developer,FALSE,4,4.2,6000,2,17,17
FALSE,1745,BSc,Junior designer,TRUE,3,2.7,4069,7,14,19
FALSE,2438,BSc,Senior designer,TRUE,4,3.1,7164,2,32,10
TRUE,1953,BSc,Developer,TRUE,2,2.3,5475,6,10,28
FALSE,2289,MSc or MBA,Business analyst,FALSE,3,1.5,4028,4,7,17
FALSE,2146,BSc,Senior developer,TRUE,5,4.4,7531,1,2,30
FALSE,2014,MSc or MBA,Junior designer,TRUE,4,3.5,4217,4,20,21
FALSE,1847,BSc,Junior designer,TRUE,2,3.5,3771,8,8,4
FALSE,1959,MSc or MBA,Designer,FALSE,2,3.1,4334,9,29,21
TRUE,1939,BSc,Junior designer,FALSE,3,2.7,4088,9,32,25
FALSE,2040,BSc,Developer,FALSE,3,1.4,5744,5,19,12
FALSE,2239,BSc,Junior designer,FALSE,4,3.3,4191,6,32,14
FALSE,1869,BSc,Junior developer,TRUE,2,2.5,3837,5,23,0
FALSE,1889,BSc,Designer,TRUE,2,4.3,4446,3,20,10
FALSE,2117,BSc,Designer,TRUE,2,4.4,4469,1,38,17
FALSE,2325,BSc,Associate,TRUE,3,1.9,5125,10,4,13
FALSE,1961,BSc,Associate,FALSE,2,2.7,4940,9,4,9
FALSE,1910,MSc or MBA,Developer,FALSE,2,3.4,5595,1,9,17
FALSE,1791,BSc,Junior designer,TRUE,3,1.4,4006,3,37,14
FALSE,1984,MSc or MBA,Developer,FALSE,3,2.3,5712,2,19,27
FALSE,1678,BSc,Associate,TRUE,3,3.4,5112,1,3,11
FALSE,2192,MSc or MBA,Principal consultant,FALSE,3,1.9,9813,9,23,8
FALSE,1856,MSc or MBA,Developer,FALSE,3,2.6,5821,6,14,26
FALSE,1923,MSc or MBA,Junior developer,TRUE,3,3.5,4070,5,17,17
FALSE,2360,BSc,Senior designer,TRUE,4,1.2,7209,4,9,13
FALSE,2363,MSc or MBA,Junior developer,TRUE,4,2.1,4100,1,18,13
FALSE,2093,MSc or MBA,Junior developer,FALSE,4,3.2,4215,5,39,2
FALSE,1813,MSc or MBA,Junior designer,FALSE,3,3.8,3998,6,10,28
FALSE,2158,MSc or MBA,Junior designer,FALSE,3,3.5,3990,12,19,23
TRUE,2067,BSc,Business analyst,TRUE,2,2.6,3898,2,29,33
FALSE,1456,BSc,Designer,TRUE,3,3.8,4655,3,7,15
FALSE,1603,BSc,Business analyst,FALSE,3,3.1,4085,7,31,16
FALSE,2105,MSc or MBA,Developer,TRUE,3,2.2,5827,4,2,8
FALSE,1959,BSc,Junior developer,FALSE,2,3.3,3880,3,25,13
TRUE,1894,BSc,Junior developer,FALSE,3,2.1,4083,1,27,7
FALSE,2170,BSc,Developer,TRUE,3,3.4,5739,2,27,18
TRUE,1818,BSc,Senior designer,TRUE,2,2.1,6620,6,29,17
FALSE,1837,MSc or MBA,Associate,FALSE,1,3.4,4661,1,28,25
FALSE,2163,BSc,Junior designer,FALSE,2,2.8,3936,11,19,22
FALSE,1724,MSc or MBA,Business analyst,TRUE,4,4.6,4253,1,17,25
FALSE,2358,BSc,Junior developer,TRUE,3,3.3,3987,10,5,19
TRUE,1973,MSc or MBA,Junior developer,TRUE,1,2.9,3606,1,37,37
FALSE,1982,BSc,Senior developer,TRUE,1,2.6,6305,7,18,8
FALSE,1879,BSc,Junior developer,FALSE,4,4.3,4170,5,13,10
FALSE,1700,MSc or MBA,Developer,TRUE,4,4.5,5916,8,21,10
FALSE,2227,BSc,Junior designer,TRUE,4,1.2,4104,8,17,17
FALSE,1813,MSc or MBA,Developer,TRUE,1,2.5,5311,1,22,18
FALSE,1920,MSc or MBA,Designer,TRUE,5,3.4,5020,8,23,14
TRUE,2179,MSc or MBA,Business analyst,FALSE,3,3.9,4023,7,24,5
FALSE,1854,BSc,Junior developer,FALSE,2,4.7,3841,6,23,39
FALSE,2212,BSc,Junior developer,TRUE,3,2.7,4081,10,3,22
FALSE,2156,BSc,Developer,FALSE,4,4.8,6035,4,31,23
FALSE,1972,BSc,Developer,TRUE,4,1.9,6043,1,13,28
FALSE,1804,MSc or MBA,Associate,TRUE,2,3,5030,2,27,17
FALSE,1708,BSc,Junior developer,FALSE,2,2.9,3928,2,28,13
FALSE,2102,BSc,Developer,FALSE,4,3.7,6058,4,8,10
FALSE,1784,BSc,Developer,TRUE,2,3,5473,6,33,9
FALSE,2076,BSc,Senior developer,TRUE,1,3.8,6360,1,15,6
TRUE,1708,MSc or MBA,Developer,TRUE,1,4.5,5229,2,16,34
FALSE,2116,BSc,Senior developer,TRUE,3,4.4,6837,7,21,9
FALSE,1645,MSc or MBA,Principal consultant,TRUE,2,3.5,9412,8,30,20
FALSE,2160,MSc or MBA,Business analyst,FALSE,4,3.3,4243,9,19,18
FALSE,1732,BSc,Junior developer,TRUE,4,1.9,4238,4,4,21
FALSE,1971,BSc,Junior designer,TRUE,3,2,4055,5,19,4
FALSE,2073,BSc,Junior developer,TRUE,2,3.7,3901,1,4,21
FALSE,2395,BSc,Junior developer,FALSE,5,3.1,4333,6,10,1
FALSE,2212,MSc or MBA,Junior designer,FALSE,3,2.1,4105,11,7,39
FALSE,1975,BSc,Consultant,TRUE,4,3,7855,7,10,21
FALSE,2196,BSc,Junior developer,FALSE,3,3,4066,5,37,43
FALSE,2165,BSc,Designer,TRUE,3,4.4,4680,4,26,41
FALSE,1705,MSc or MBA,Designer,TRUE,2,2.8,4417,3,40,11
FALSE,1991,MSc or MBA,Developer,TRUE,4,3.3,6021,4,28,4
FALSE,1670,MSc or MBA,Consultant,FALSE,2,1.1,7089,5,11,0
FALSE,1758,BSc,Junior designer,TRUE,2,3.6,3782,7,30,25
TRUE,1578,MSc or MBA,Business analyst,FALSE,4,1.8,4260,7,5,28
FALSE,2296,BSc,Designer,TRUE,3,4.5,4535,14,22,9
TRUE,1723,MSc or MBA,Developer,FALSE,2,3,5530,4,38,29
FALSE,2226,MSc or MBA,Associate,TRUE,3,2.1,5265,9,9,12
FALSE,1611,BSc,Junior developer,TRUE,3,3,3965,3,24,6
FALSE,1661,BSc,Developer,FALSE,2,2.9,5452,0,11,19
TRUE,2158,MSc or MBA,Designer,TRUE,2,1.8,4405,6,19,1
FALSE,1954,MSc or MBA,Junior designer,FALSE,3,3.5,4086,3,31,12
FALSE,2070,BSc,Developer,TRUE,1,2.7,5343,5,14,23
FALSE,1981,MSc or MBA,Designer,TRUE,4,4.5,4811,5,14,20
FALSE,1995,BSc,Junior developer,FALSE,2,4,3901,2,18,7
FALSE,1741,MSc or MBA,Business analyst,TRUE,3,2,4082,2,15,14
TRUE,2237,BSc,Developer,TRUE,3,1.5,5688,8,19,28
FALSE,1675,BSc,Junior developer,TRUE,2,3.2,3810,2,24,15
FALSE,2131,BSc,Junior designer,FALSE,4,3.1,4240,11,26,19
FALSE,1828,BSc,Junior developer,FALSE,3,4.2,3971,4,30,12
TRUE,1869,MSc or MBA,Developer,FALSE,2,2.8,5486,10,10,45
FALSE,2060,BSc,Developer,TRUE,3,2.4,5765,2,31,6
FALSE,1643,MSc or MBA,Designer,FALSE,3,3.2,4606,4,28,15
FALSE,2110,BSc,Developer,TRUE,2,4.5,5462,8,46,33
FALSE,1802,BSc,Developer,FALSE,1,2.7,5261,8,12,33
FALSE,1438,BSc,Developer,TRUE,1,3.6,5186,6,35,33
FALSE,2620,BSc,Junior designer,TRUE,4,1.9,4185,1,23,9
FALSE,2823,BSc,Developer,FALSE,2,3.7,5448,4,17,12
TRUE,2112,BSc,Developer,TRUE,2,2.7,5538,1,22,6
TRUE,1677,BSc,Designer,FALSE,2,3.1,4464,4,23,29
TRUE,1959,MSc or MBA,Designer,FALSE,3,2.4,4674,3,13,38
FALSE,1881,BSc,Designer,TRUE,3,3.6,4553,3,17,10
FALSE,2404,BSc,Designer,FALSE,5,3.5,5074,2,24,9
TRUE,2363,MSc or MBA,Business analyst,FALSE,4,3.4,4173,4,30,13
FALSE,1459,BSc,Senior designer,TRUE,2,3.3,6528,11,18,30
FALSE,2353,MSc or MBA,Junior developer,FALSE,4,3,4115,4,29,31
FALSE,1614,MSc or MBA,Junior designer,FALSE,3,2.8,4112,5,41,14
FALSE,2009,BSc,Consultant,TRUE,1,4.7,6798,2,25,13
FALSE,1587,BSc,Junior designer,FALSE,4,3.2,4252,1,20,12
FALSE,1888,BSc,Senior developer,TRUE,2,2.9,6528,1,13,17
FALSE,2231,MSc or MBA,Junior designer,TRUE,3,2.3,3977,0,23,25
FALSE,2088,BSc,Junior developer,FALSE,5,2.9,4460,3,16,13
FALSE,1892,BSc,Junior designer,FALSE,3,3.2,4079,7,6,32
FALSE,1868,BSc,Junior designer,TRUE,3,2.3,4093,2,3,10
TRUE,1883,MSc or MBA,Junior developer,TRUE,1,2.5,3730,3,19,33
FALSE,2448,MSc or MBA,Junior developer,TRUE,3,2.6,4020,1,30,5
FALSE,1958,BSc,Junior developer,TRUE,4,2.6,4143,8,20,8
TRUE,1717,MSc or MBA,Lead developer,TRUE,3,1.6,9122,2,20,17
FALSE,1906,BSc,Junior designer,TRUE,2,4.6,3939,2,30,15
FALSE,1477,BSc,Business analyst,FALSE,3,3,4000,3,19,7
FALSE,2027,MSc or MBA,Senior developer,TRUE,4,3.6,7209,1,19,27
FALSE,1987,MSc or MBA,Junior developer,FALSE,2,2.1,3875,1,29,24
FALSE,2206,MSc or MBA,Associate,TRUE,3,3.6,5184,1,4,29
FALSE,1945,BSc,Junior designer,TRUE,1,3,3674,1,24,17
FALSE,2077,MSc or MBA,Designer,FALSE,3,4.3,4620,1,11,22
FALSE,2218,BSc,Associate,TRUE,3,5,5179,1,34,29
FALSE,1910,BSc,Developer,FALSE,3,4.5,5826,6,28,23
FALSE,2332,BSc,Associate,FALSE,3,3,5222,0,18,13
FALSE,2221,BSc,Designer,TRUE,5,2.5,5069,2,10,25
TRUE,1836,MSc or MBA,Developer,TRUE,2,1.6,5501,0,31,29
FALSE,2591,BSc,Designer,TRUE,3,4.3,4638,7,21,17
FALSE,1767,BSc,Junior designer,FALSE,2,3.6,3939,1,21,35
FALSE,1727,BSc,Junior developer,TRUE,5,3.4,4383,2,16,14
FALSE,2154,BSc,Developer,TRUE,4,2.9,5965,1,28,28
FALSE,2038,BSc,Junior designer,FALSE,4,3.5,4218,3,32,6
FALSE,2030,BSc,Junior developer,FALSE,4,2.3,4125,3,30,20
FALSE,1947,BSc,Junior designer,FALSE,2,3.1,3946,3,9,11
TRUE,1649,MSc or MBA,Developer,FALSE,4,2.3,5978,8,21,23
FALSE,2040,BSc,Developer,TRUE,3,2.4,5847,5,48,12
FALSE,1960,MSc or MBA,Developer,FALSE,1,4.4,5257,10,16,18
